"customer_id","no_of_days_rented","case"
548,"8 days 03:02:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
431,"2 days 03:40:00","NO NEED FOR REMINDER MAIL YET"
113,"6 days 04:16:00","NO NEED FOR REMINDER MAIL YET"
507,"22:15:00","NO NEED FOR REMINDER MAIL YET"
228,"5 days 21:59:00","NO NEED FOR REMINDER MAIL YET"
447,"7 days 01:58:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
287,"9 days 05:31:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
317,"8 days 19:56:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
247,"8 days 00:21:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
392,"6 days 03:47:00","NO NEED FOR REMINDER MAIL YET"
513,"8 days 04:11:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
436,"7 days 21:21:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
130,"1 day 19:08:00","NO NEED FOR REMINDER MAIL YET"
178,"6 days 00:27:00","NO NEED FOR REMINDER MAIL YET"
72,"4 days 04:48:00","NO NEED FOR REMINDER MAIL YET"
106,"2 days 23:14:00","NO NEED FOR REMINDER MAIL YET"
481,"2 days 04:16:00","NO NEED FOR REMINDER MAIL YET"
111,"7 days 20:51:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
497,"6 days 03:33:00","NO NEED FOR REMINDER MAIL YET"
28,"8 days 03:30:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
291,"5 days 20:29:00","NO NEED FOR REMINDER MAIL YET"
273,"7 days 02:07:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
42,"3 days 18:19:00","NO NEED FOR REMINDER MAIL YET"
329,"4 days 02:31:00","NO NEED FOR REMINDER MAIL YET"
327,"4 days 21:47:00","NO NEED FOR REMINDER MAIL YET"
149,"5 days 21:47:00","NO NEED FOR REMINDER MAIL YET"
477,"9 days 01:28:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
47,"4 days 20:08:00","NO NEED FOR REMINDER MAIL YET"
1,"3 days 18:55:00","NO NEED FOR REMINDER MAIL YET"
576,"1 day 19:13:00","NO NEED FOR REMINDER MAIL YET"
409,"7 days 20:21:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
236,"6 days 23:00:00","NO NEED FOR REMINDER MAIL YET"
184,"5 days 19:39:00","NO NEED FOR REMINDER MAIL YET"
379,"8 days 01:34:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
160,"1 day 03:11:00","NO NEED FOR REMINDER MAIL YET"
372,"4 days 02:15:00","NO NEED FOR REMINDER MAIL YET"
289,"2 days 00:35:00","NO NEED FOR REMINDER MAIL YET"
326,"2 days 20:38:00","NO NEED FOR REMINDER MAIL YET"
383,"4 days 22:06:00","NO NEED FOR REMINDER MAIL YET"
393,"8 days 04:48:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
552,"5 days 22:35:00","NO NEED FOR REMINDER MAIL YET"
565,"7 days 04:46:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
213,"6 days 23:45:00","NO NEED FOR REMINDER MAIL YET"
54,"4 days 21:24:00","NO NEED FOR REMINDER MAIL YET"
268,"5 days 04:10:00","NO NEED FOR REMINDER MAIL YET"
406,"3 days 04:59:00","NO NEED FOR REMINDER MAIL YET"
174,"5 days 20:47:00","NO NEED FOR REMINDER MAIL YET"
571,"2 days 04:50:00","NO NEED FOR REMINDER MAIL YET"
441,"2 days 18:01:00","NO NEED FOR REMINDER MAIL YET"
587,"2 days 01:41:00","NO NEED FOR REMINDER MAIL YET"
390,"7 days 00:07:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
221,"7 days 03:40:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
140,"6 days 01:13:00","NO NEED FOR REMINDER MAIL YET"
283,"6 days 20:14:00","NO NEED FOR REMINDER MAIL YET"
223,"3 days 23:42:00","NO NEED FOR REMINDER MAIL YET"
446,"7 days 19:43:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
124,"6 days 19:02:00","NO NEED FOR REMINDER MAIL YET"
582,"7 days 19:44:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
316,"20:10:00","NO NEED FOR REMINDER MAIL YET"
297,"2 days 23:00:00","NO NEED FOR REMINDER MAIL YET"
157,"4 days 18:30:00","NO NEED FOR REMINDER MAIL YET"
31,"9 days 00:21:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
146,"2 days 02:58:00","NO NEED FOR REMINDER MAIL YET"
20,"3 days 23:51:00","NO NEED FOR REMINDER MAIL YET"
498,"23:55:00","NO NEED FOR REMINDER MAIL YET"
6,"4 days 02:22:00","NO NEED FOR REMINDER MAIL YET"
308,"9 days 02:54:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
194,"5 days 01:51:00","NO NEED FOR REMINDER MAIL YET"
449,"6 days 01:48:00","NO NEED FOR REMINDER MAIL YET"
495,"22:59:00","NO NEED FOR REMINDER MAIL YET"
471,"4 days 23:10:00","NO NEED FOR REMINDER MAIL YET"
216,"5 days 03:47:00","NO NEED FOR REMINDER MAIL YET"
590,"3 days 18:27:00","NO NEED FOR REMINDER MAIL YET"
361,"1 day 01:00:00","NO NEED FOR REMINDER MAIL YET"
77,"7 days 18:29:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
125,"7 days 18:35:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
455,"2 days 21:13:00","NO NEED FOR REMINDER MAIL YET"
561,"8 days 03:41:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
478,"7 days 23:58:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
201,"6 days 22:48:00","NO NEED FOR REMINDER MAIL YET"
57,"5 days 02:21:00","NO NEED FOR REMINDER MAIL YET"
546,"4 days 18:40:00","NO NEED FOR REMINDER MAIL YET"
514,"23:04:00","NO NEED FOR REMINDER MAIL YET"
1,"1 day 04:07:00","NO NEED FOR REMINDER MAIL YET"
512,"5 days 00:41:00","NO NEED FOR REMINDER MAIL YET"
493,"2 days 22:27:00","NO NEED FOR REMINDER MAIL YET"
162,"5 days 05:03:00","NO NEED FOR REMINDER MAIL YET"
566,"4 days 00:45:00","NO NEED FOR REMINDER MAIL YET"
99,"4 days 20:39:00","NO NEED FOR REMINDER MAIL YET"
44,"5 days 04:20:00","NO NEED FOR REMINDER MAIL YET"
489,"5 days 19:54:00","NO NEED FOR REMINDER MAIL YET"
248,"3 days 19:03:00","NO NEED FOR REMINDER MAIL YET"
96,"2 days 18:03:00","NO NEED FOR REMINDER MAIL YET"
544,"5 days 04:52:00","NO NEED FOR REMINDER MAIL YET"
71,"4 days 02:30:00","NO NEED FOR REMINDER MAIL YET"
259,"7 days 23:05:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
479,"7 days 02:45:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
193,"8 days 21:40:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
384,"8 days 03:26:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
597,"5 days 22:27:00","NO NEED FOR REMINDER MAIL YET"
256,"5 days 22:29:00","NO NEED FOR REMINDER MAIL YET"
167,"3 days 20:38:00","NO NEED FOR REMINDER MAIL YET"
568,"1 day 19:13:00","NO NEED FOR REMINDER MAIL YET"
149,"8 days 03:25:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
132,"3 days 02:52:00","NO NEED FOR REMINDER MAIL YET"
298,"7 days 18:40:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
293,"4 days 04:39:00","NO NEED FOR REMINDER MAIL YET"
289,"7 days 02:17:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
53,"2 days 04:58:00","NO NEED FOR REMINDER MAIL YET"
382,"2 days 20:59:00","NO NEED FOR REMINDER MAIL YET"
239,"5 days 02:21:00","NO NEED FOR REMINDER MAIL YET"
491,"6 days 22:57:00","NO NEED FOR REMINDER MAIL YET"
261,"1 day 00:48:00","NO NEED FOR REMINDER MAIL YET"
21,"7 days 01:34:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
60,"8 days 00:30:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
544,"9 days 03:26:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
31,"9 days 04:42:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
76,"6 days 00:01:00","NO NEED FOR REMINDER MAIL YET"
526,"8 days 22:29:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
577,"8 days 00:50:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
410,"7 days 04:24:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
359,"21:27:00","NO NEED FOR REMINDER MAIL YET"
360,"8 days 22:15:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
536,"5 days 02:52:00","NO NEED FOR REMINDER MAIL YET"
456,"5 days 04:06:00","NO NEED FOR REMINDER MAIL YET"
356,"3 days 02:39:00","NO NEED FOR REMINDER MAIL YET"
497,"4 days 19:25:00","NO NEED FOR REMINDER MAIL YET"
421,"5 days 22:39:00","NO NEED FOR REMINDER MAIL YET"
87,"1 day 03:21:00","NO NEED FOR REMINDER MAIL YET"
84,"2 days 01:30:00","NO NEED FOR REMINDER MAIL YET"
381,"1 day 19:45:00","NO NEED FOR REMINDER MAIL YET"
558,"6 days 19:49:00","NO NEED FOR REMINDER MAIL YET"
127,"9 days 05:59:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
170,"8 days 23:11:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
275,"2 days 00:41:00","NO NEED FOR REMINDER MAIL YET"
434,"6 days 20:14:00","NO NEED FOR REMINDER MAIL YET"
26,"6 days 02:09:00","NO NEED FOR REMINDER MAIL YET"
219,"7 days 20:20:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
381,"7 days 23:19:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
102,"8 days 01:04:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
502,"5 days 00:23:00","NO NEED FOR REMINDER MAIL YET"
26,"5 days 03:44:00","NO NEED FOR REMINDER MAIL YET"
527,"4 days 21:54:00","NO NEED FOR REMINDER MAIL YET"
231,"2 days 18:26:00","NO NEED FOR REMINDER MAIL YET"
233,"4 days 21:58:00","NO NEED FOR REMINDER MAIL YET"
579,"9 days 01:03:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
543,"3 days 20:50:00","NO NEED FOR REMINDER MAIL YET"
176,"9 days 02:22:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
241,"20:52:00","NO NEED FOR REMINDER MAIL YET"
583,"8 days 22:04:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
434,"5 days 01:26:00","NO NEED FOR REMINDER MAIL YET"
295,"6 days 21:15:00","NO NEED FOR REMINDER MAIL YET"
250,"6 days 21:20:00","NO NEED FOR REMINDER MAIL YET"
356,"4 days 20:36:00","NO NEED FOR REMINDER MAIL YET"
12,"4 days 18:41:00","NO NEED FOR REMINDER MAIL YET"
173,"3 days 19:31:00","NO NEED FOR REMINDER MAIL YET"
534,"2 days 19:20:00","NO NEED FOR REMINDER MAIL YET"
454,"3 days 00:06:00","NO NEED FOR REMINDER MAIL YET"
31,"22:16:00","NO NEED FOR REMINDER MAIL YET"
39,"3 days 01:12:00","NO NEED FOR REMINDER MAIL YET"
380,"3 days 18:05:00","NO NEED FOR REMINDER MAIL YET"
593,"1 day 05:57:00","NO NEED FOR REMINDER MAIL YET"
364,"3 days 21:29:00","NO NEED FOR REMINDER MAIL YET"
233,"6 days 02:35:00","NO NEED FOR REMINDER MAIL YET"
576,"9 days 01:50:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
98,"5 days 03:23:00","NO NEED FOR REMINDER MAIL YET"
466,"8 days 22:06:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
523,"8 days 21:25:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
308,"8 days 19:30:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
498,"9 days 04:31:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
230,"8 days 20:29:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
24,"4 days 21:13:00","NO NEED FOR REMINDER MAIL YET"
77,"8 days 02:58:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
588,"1 day 21:52:00","NO NEED FOR REMINDER MAIL YET"
253,"6 days 00:31:00","NO NEED FOR REMINDER MAIL YET"
241,"2 days 19:48:00","NO NEED FOR REMINDER MAIL YET"
147,"5 days 03:12:00","NO NEED FOR REMINDER MAIL YET"
91,"8 days 01:10:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
572,"2 days 18:15:00","NO NEED FOR REMINDER MAIL YET"
185,"4 days 23:30:00","NO NEED FOR REMINDER MAIL YET"
553,"9 days 02:42:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
343,"9 days 05:37:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
468,"3 days 01:54:00","NO NEED FOR REMINDER MAIL YET"
194,"6 days 19:03:00","NO NEED FOR REMINDER MAIL YET"
380,"1 day 23:16:00","NO NEED FOR REMINDER MAIL YET"
160,"7 days 00:48:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
427,"1 day 05:14:00","NO NEED FOR REMINDER MAIL YET"
177,"1 day 20:41:00","NO NEED FOR REMINDER MAIL YET"
382,"4 days 18:11:00","NO NEED FOR REMINDER MAIL YET"
137,"8 days 19:15:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
40,"6 days 22:20:00","NO NEED FOR REMINDER MAIL YET"
183,"5 days 21:30:00","NO NEED FOR REMINDER MAIL YET"
70,"1 day 04:08:00","NO NEED FOR REMINDER MAIL YET"
221,"23:35:00","NO NEED FOR REMINDER MAIL YET"
151,"6 days 04:48:00","NO NEED FOR REMINDER MAIL YET"
336,"2 days 22:48:00","NO NEED FOR REMINDER MAIL YET"
334,"1 day 18:45:00","NO NEED FOR REMINDER MAIL YET"
206,"4 days 00:51:00","NO NEED FOR REMINDER MAIL YET"
241,"5 days 03:19:00","NO NEED FOR REMINDER MAIL YET"
408,"3 days 19:46:00","NO NEED FOR REMINDER MAIL YET"
310,"3 days 19:20:00","NO NEED FOR REMINDER MAIL YET"
322,"4 days 05:27:00","NO NEED FOR REMINDER MAIL YET"
122,"23:29:00","NO NEED FOR REMINDER MAIL YET"
88,"6 days 03:52:00","NO NEED FOR REMINDER MAIL YET"
515,"5 days 18:38:00","NO NEED FOR REMINDER MAIL YET"
56,"3 days 00:43:00","NO NEED FOR REMINDER MAIL YET"
15,"4 days 02:16:00","NO NEED FOR REMINDER MAIL YET"
374,"4 days 23:39:00","NO NEED FOR REMINDER MAIL YET"
403,"5 days 04:30:00","NO NEED FOR REMINDER MAIL YET"
382,"3 days 04:06:00","NO NEED FOR REMINDER MAIL YET"
402,"1 day 01:45:00","NO NEED FOR REMINDER MAIL YET"
316,"7 days 04:45:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
237,"4 days 23:54:00","NO NEED FOR REMINDER MAIL YET"
269,"9 days 01:32:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
434,"6 days 19:08:00","NO NEED FOR REMINDER MAIL YET"
338,"3 days 01:06:00","NO NEED FOR REMINDER MAIL YET"
527,"1 day 04:48:00","NO NEED FOR REMINDER MAIL YET"
171,"7 days 23:49:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
74,"3 days 21:06:00","NO NEED FOR REMINDER MAIL YET"
348,"1 day 22:49:00","NO NEED FOR REMINDER MAIL YET"
12,"7 days 18:20:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
450,"5 days 19:30:00","NO NEED FOR REMINDER MAIL YET"
325,"1 day 05:07:00","NO NEED FOR REMINDER MAIL YET"
176,"4 days 04:40:00","NO NEED FOR REMINDER MAIL YET"
452,"2 days 05:24:00","NO NEED FOR REMINDER MAIL YET"
519,"7 days 02:08:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
82,"6 days 18:42:00","NO NEED FOR REMINDER MAIL YET"
325,"2 days 19:44:00","NO NEED FOR REMINDER MAIL YET"
476,"1 day 19:43:00","NO NEED FOR REMINDER MAIL YET"
213,"1 day 01:52:00","NO NEED FOR REMINDER MAIL YET"
384,"5 days 00:47:00","NO NEED FOR REMINDER MAIL YET"
234,"5 days 01:36:00","NO NEED FOR REMINDER MAIL YET"
27,"2 days 05:10:00","NO NEED FOR REMINDER MAIL YET"
515,"5 days 21:23:00","NO NEED FOR REMINDER MAIL YET"
382,"4 days 21:14:00","NO NEED FOR REMINDER MAIL YET"
188,"3 days 05:34:00","NO NEED FOR REMINDER MAIL YET"
87,"2 days 00:27:00","NO NEED FOR REMINDER MAIL YET"
74,"6 days 02:08:00","NO NEED FOR REMINDER MAIL YET"
86,"6 days 19:12:00","NO NEED FOR REMINDER MAIL YET"
128,"6 days 01:27:00","NO NEED FOR REMINDER MAIL YET"
446,"9 days 04:07:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
92,"2 days 23:59:00","NO NEED FOR REMINDER MAIL YET"
579,"9 days 03:43:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
89,"2 days 00:09:00","NO NEED FOR REMINDER MAIL YET"
465,"6 days 00:58:00","NO NEED FOR REMINDER MAIL YET"
365,"5 days 18:22:00","NO NEED FOR REMINDER MAIL YET"
500,"9 days 05:54:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
463,"1 day 04:27:00","NO NEED FOR REMINDER MAIL YET"
331,"7 days 03:54:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
478,"4 days 23:08:00","NO NEED FOR REMINDER MAIL YET"
31,"4 days 02:50:00","NO NEED FOR REMINDER MAIL YET"
368,"3 days 00:30:00","NO NEED FOR REMINDER MAIL YET"
26,"1 day 00:48:00","NO NEED FOR REMINDER MAIL YET"
187,"3 days 18:45:00","NO NEED FOR REMINDER MAIL YET"
517,"3 days 22:38:00","NO NEED FOR REMINDER MAIL YET"
130,"8 days 23:54:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
163,"8 days 01:30:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
388,"7 days 00:17:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
472,"5 days 22:58:00","NO NEED FOR REMINDER MAIL YET"
527,"20:19:00","NO NEED FOR REMINDER MAIL YET"
363,"1 day 20:38:00","NO NEED FOR REMINDER MAIL YET"
360,"4 days 21:24:00","NO NEED FOR REMINDER MAIL YET"
67,"7 days 18:17:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
58,"1 day 22:26:00","NO NEED FOR REMINDER MAIL YET"
558,"3 days 19:29:00","NO NEED FOR REMINDER MAIL YET"
413,"1 day 00:54:00","NO NEED FOR REMINDER MAIL YET"
272,"4 days 01:17:00","NO NEED FOR REMINDER MAIL YET"
162,"5 days 05:17:00","NO NEED FOR REMINDER MAIL YET"
561,"3 days 04:07:00","NO NEED FOR REMINDER MAIL YET"
495,"7 days 19:44:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
38,"4 days 22:48:00","NO NEED FOR REMINDER MAIL YET"
444,"9 days 02:11:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
389,"9 days 01:12:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
473,"6 days 23:32:00","NO NEED FOR REMINDER MAIL YET"
322,"6 days 19:58:00","NO NEED FOR REMINDER MAIL YET"
191,"6 days 02:18:00","NO NEED FOR REMINDER MAIL YET"
377,"4 days 20:02:00","NO NEED FOR REMINDER MAIL YET"
257,"1 day 04:51:00","NO NEED FOR REMINDER MAIL YET"
361,"5 days 02:20:00","NO NEED FOR REMINDER MAIL YET"
414,"9 days 04:40:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
309,"8 days 23:16:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
256,"1 day 23:28:00","NO NEED FOR REMINDER MAIL YET"
265,"2 days 05:11:00","NO NEED FOR REMINDER MAIL YET"
41,"4 days 00:44:00","NO NEED FOR REMINDER MAIL YET"
408,"4 days 23:29:00","NO NEED FOR REMINDER MAIL YET"
128,"4 days 21:42:00","NO NEED FOR REMINDER MAIL YET"
486,"6 days 04:58:00","NO NEED FOR REMINDER MAIL YET"
496,"19:35:00","NO NEED FOR REMINDER MAIL YET"
190,"5 days 19:15:00","NO NEED FOR REMINDER MAIL YET"
213,"7 days 00:12:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
5,"6 days 02:40:00","NO NEED FOR REMINDER MAIL YET"
66,"2 days 03:08:00","NO NEED FOR REMINDER MAIL YET"
159,"4 days 05:01:00","NO NEED FOR REMINDER MAIL YET"
563,"4 days 01:41:00","NO NEED FOR REMINDER MAIL YET"
143,"1 day 01:01:00","NO NEED FOR REMINDER MAIL YET"
336,"5 days 05:05:00","NO NEED FOR REMINDER MAIL YET"
559,"9 days 05:28:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
66,"8 days 20:02:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
267,"7 days 04:57:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
493,"3 days 04:42:00","NO NEED FOR REMINDER MAIL YET"
219,"3 days 23:31:00","NO NEED FOR REMINDER MAIL YET"
456,"4 days 18:34:00","NO NEED FOR REMINDER MAIL YET"
267,"7 days 04:00:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
523,"8 days 19:03:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
90,"8 days 23:50:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
406,"1 day 04:23:00","NO NEED FOR REMINDER MAIL YET"
537,"7 days 19:18:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
331,"5 days 05:44:00","NO NEED FOR REMINDER MAIL YET"
143,"2 days 23:00:00","NO NEED FOR REMINDER MAIL YET"
164,"2 days 04:34:00","NO NEED FOR REMINDER MAIL YET"
324,"1 day 02:27:00","NO NEED FOR REMINDER MAIL YET"
438,"6 days 18:10:00","NO NEED FOR REMINDER MAIL YET"
208,"2 days 03:08:00","NO NEED FOR REMINDER MAIL YET"
556,"9 days 02:31:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
123,"5 days 21:58:00","NO NEED FOR REMINDER MAIL YET"
122,"6 days 04:37:00","NO NEED FOR REMINDER MAIL YET"
80,"5 days 04:28:00","NO NEED FOR REMINDER MAIL YET"
407,"23:21:00","NO NEED FOR REMINDER MAIL YET"
265,"5 days 05:45:00","NO NEED FOR REMINDER MAIL YET"
171,"7 days 19:04:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
423,"8 days 21:30:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
98,"1 day 01:54:00","NO NEED FOR REMINDER MAIL YET"
173,"4 days 18:29:00","NO NEED FOR REMINDER MAIL YET"
222,"6 days 20:58:00","NO NEED FOR REMINDER MAIL YET"
28,"6 days 04:46:00","NO NEED FOR REMINDER MAIL YET"
38,"6 days 00:12:00","NO NEED FOR REMINDER MAIL YET"
364,"1 day 20:24:00","NO NEED FOR REMINDER MAIL YET"
340,"5 days 20:26:00","NO NEED FOR REMINDER MAIL YET"
132,"5 days 05:59:00","NO NEED FOR REMINDER MAIL YET"
383,"9 days 05:17:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
542,"6 days 02:23:00","NO NEED FOR REMINDER MAIL YET"
301,"2 days 03:01:00","NO NEED FOR REMINDER MAIL YET"
287,"6 days 03:51:00","NO NEED FOR REMINDER MAIL YET"
179,"1 day 19:39:00","NO NEED FOR REMINDER MAIL YET"
145,"3 days 05:05:00","NO NEED FOR REMINDER MAIL YET"
578,"8 days 05:21:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
478,"8 days 19:32:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
313,"8 days 04:08:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
310,"4 days 19:20:00","NO NEED FOR REMINDER MAIL YET"
350,"1 day 20:59:00","NO NEED FOR REMINDER MAIL YET"
94,"5 days 03:36:00","NO NEED FOR REMINDER MAIL YET"
439,"8 days 21:29:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
573,"9 days 02:34:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
12,"7 days 04:17:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
32,"8 days 02:51:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
25,"7 days 01:29:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
450,"4 days 19:30:00","NO NEED FOR REMINDER MAIL YET"
592,"4 days 19:59:00","NO NEED FOR REMINDER MAIL YET"
3,"8 days 19:45:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
458,"8 days 18:56:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
236,"6 days 00:44:00","NO NEED FOR REMINDER MAIL YET"
39,"6 days 18:36:00","NO NEED FOR REMINDER MAIL YET"
574,"3 days 22:22:00","NO NEED FOR REMINDER MAIL YET"
68,"23:03:00","NO NEED FOR REMINDER MAIL YET"
318,"1 day 02:49:00","NO NEED FOR REMINDER MAIL YET"
105,"7 days 00:12:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
253,"5 days 22:34:00","NO NEED FOR REMINDER MAIL YET"
327,"8 days 00:49:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
295,"7 days 05:33:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
116,"2 days 04:52:00","NO NEED FOR REMINDER MAIL YET"
540,"1 day 05:12:00","NO NEED FOR REMINDER MAIL YET"
374,"3 days 00:17:00","NO NEED FOR REMINDER MAIL YET"
4,"5 days 22:54:00","NO NEED FOR REMINDER MAIL YET"
318,"7 days 00:48:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
309,"7 days 21:41:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
181,"8 days 20:57:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
275,"1 day 18:19:00","NO NEED FOR REMINDER MAIL YET"
54,"3 days 05:58:00","NO NEED FOR REMINDER MAIL YET"
31,"1 day 18:24:00","NO NEED FOR REMINDER MAIL YET"
153,"1 day 23:45:00","NO NEED FOR REMINDER MAIL YET"
209,"1 day 21:40:00","NO NEED FOR REMINDER MAIL YET"
576,"8 days 03:15:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
589,"8 days 21:28:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
340,"7 days 04:39:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
405,"8 days 01:07:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
29,"4 days 03:42:00","NO NEED FOR REMINDER MAIL YET"
280,"4 days 21:49:00","NO NEED FOR REMINDER MAIL YET"
19,"9 days 01:55:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
156,"5 days 05:40:00","NO NEED FOR REMINDER MAIL YET"
139,"4 days 03:16:00","NO NEED FOR REMINDER MAIL YET"
